DopingConcentration(C1(nodnum1_msh)) X,DopingConcentration(C1(nodnum1_msh)) Y
241.3916,-1e+15
241.9716,-1e+15
241.97769,-1e+15
242.55768,-1e+15
242.56377,-1e+15
243.14377,-1e+15
243.14986,-1e+15
243.72984,-1e+15
243.73593,-1e+15
244.31593,-1e+15
244.32202,-1e+15
244.90202,-1e+15
244.90811,-1e+15
245.4881,-1e+15
245.49419,-1e+15
246.07419,-1e+15
246.08028,-1e+15
246.66026,-1e+15
246.66635,-1e+15
247.24635,-1e+15
247.25244,-1e+15
247.83244,-1e+15
247.83853,-1e+15
248.41852,-1e+15
248.42461,-1e+15
249.00461,-1e+15
249.0107,-1e+15
249.59068,-1e+15
249.59677,-1e+15
250.17677,-1e+15
250.18286,-1e+15
250.76286,-1e+15
250.76895,-1e+15
251.34894,-1e+15
251.35503,-1e+15
251.93503,-1e+15
251.94112,-1e+15
252.5211,-1e+15
252.52719,-1e+15
253.10719,-1e+15
253.11328,-1e+15
253.69328,-1e+15
253.69937,-1e+15
254.27936,-1e+15
254.28545,-1e+15
254.86545,-1e+15
254.87154,-1e+15
255.45152,-1e+15
255.45761,-1e+15
256.0376,-1e+15
256.0437,-1e+15
256.62369,-1e+15
256.62979,-1e+15
257.20978,-1e+15
257.21588,-1e+15
257.79584,-1e+15
257.80194,-1e+15
258.38193,-1e+15
258.38803,-1e+15
258.96802,-1e+15
258.97412,-1e+15
259.55411,-1e+15
259.56021,-1e+15
260.1402,-1e+15
260.1463,-1e+15
260.72626,-1e+15
260.73236,-1e+15
261.31235,-1e+15
261.31845,-1e+15
261.89844,-1e+15
261.90454,-1e+15
262.48453,-1e+15
262.49063,-1e+15
263.07062,-1e+15
263.07672,-1e+15
263.65668,-1e+15
263.66278,-1e+15
264.24277,-1e+15
264.24887,-1e+15
264.82886,-1e+15
264.83496,-1e+15
265.41495,-1e+15
265.42105,-1e+15
266.00104,-1e+15
266.00714,-1e+15
266.5871,-1e+15
266.5932,-1e+15
267.17319,-1e+15
267.17929,-1e+15
267.75928,-1e+15
267.76538,-1e+15
268.34537,-1e+15
268.35147,-1e+15
268.93146,-1e+15
268.93756,-1e+15
269.51752,-1e+15
269.52362,-1e+15
270.10361,-1e+15
270.10971,-1e+15
270.6897,-1e+15
270.6958,-1e+15
271.27579,-1e+15
271.28189,-1e+15
271.86188,-1e+15
271.86798,-1e+15
272.44794,-1e+15
272.45404,-1e+15
273.03403,-1e+15
273.04013,-1e+15
273.62012,-1e+15
273.62622,-1e+15
274.20621,-1e+15
274.21231,-1e+15
274.7923,-1e+15
274.7984,-1e+15
275.37836,-1e+15
275.38446,-1e+15
275.96445,-1e+15
275.97055,-1e+15
276.55054,-1e+15
276.55664,-1e+15
277.13663,-1e+15
277.14273,-1e+15
277.72272,-1e+15
277.72882,-1e+15
278.30878,-1e+15
278.31488,-1e+15
278.89487,-1e+15
278.90097,-1e+15
279.48096,-1e+15
279.48706,-1e+15
280.06705,-1e+15
280.07315,-1e+15
280.65314,-1e+15
280.65924,-1e+15
281.2392,-1e+15
281.2453,-1e+15
281.82529,-1e+15
281.83139,-1e+15
282.41138,-1e+15
282.41748,-1e+15
282.99747,-1e+15
283.00357,-1e+15
283.58356,-1e+15
283.58966,-1e+15
284.16962,-1e+15
284.17572,-1e+15
284.75571,-1e+15
284.76181,-1e+15
285.3418,-1e+15
285.3479,-1e+15
285.92789,-1e+15
285.93399,-1e+15
286.51398,-1e+15
286.52008,-1e+15
287.10004,-1e+15
287.10614,-1e+15
287.68613,-1e+15
287.69223,-1e+15
288.27222,-1e+15
288.27832,-1e+15
288.85831,-1e+15
288.86441,-1e+15
289.4444,-1e+15
289.4505,-1e+15
290.03046,-1e+15
290.03656,-1e+15
290.61655,-1e+15
290.62265,-1e+15
291.20264,-1e+15
291.20874,-1e+15
291.78873,-1e+15
291.79483,-1e+15
292.37482,-1e+15
292.38092,-1e+15
292.96088,-1e+15
292.96698,-1e+15
293.54697,-1e+15
293.55307,-1e+15
294.13306,-1e+15
294.13916,-1e+15
294.71915,-1e+15
294.72525,-1e+15
295.30524,-1e+15
295.31134,-1e+15
295.8913,-1e+15
